trade_date,board,turnover_100m_yuan,return_pct,turnover_rate_pct
2019-01-02,主板,1843.18,-0.95,
2019-01-02,创业板,407.15,-0.95,
2019-01-02,科创板,0.0,0.0,
2019-01-03,主板,2049.17,-0.21,
2019-01-03,创业板,459.78,-1.01,
2019-01-03,科创板,0.0,0.0,
2019-01-04,主板,2652.25,2.47,
2019-01-04,创业板,558.17,2.72,
2019-01-04,科创板,0.0,0.0,
2019-01-07,主板,2840.46,1.16,
2019-01-07,创业板,619.26,2.06,
2019-01-07,科创板,0.0,0.0,
2019-01-08,主板,2431.82,-0.18,
2019-01-08,创业板,548.21,-0.28,
2019-01-08,科创板,0.0,0.0,
2019-01-09,主板,3127.59,0.74,
2019-01-09,创业板,648.9,-0.02,
2019-01-09,科创板,0.0,0.0,
2019-01-10,主板,2558.03,-0.2,
2019-01-10,创业板,549.61,-0.11,
2019-01-10,科创板,0.0,0.0,
2019-01-11,主板,2397.06,0.77,
2019-01-11,创业板,537.92,0.63,
2019-01-11,科创板,0.0,0.0,
2019-01-14,主板,2283.12,-0.67,
2019-01-14,创业板,518.15,-1.01,
2019-01-14,科创板,0.0,0.0,
2019-01-15,主板,2635.01,1.55,
2019-01-15,创业板,538.05,1.44,
2019-01-15,科创板,0.0,0.0,
2019-01-16,主板,2503.43,-0.05,
2019-01-16,创业板,530.57,-0.16,
2019-01-16,科创板,0.0,0.0,
2019-01-17,主板,2437.61,-0.64,
2019-01-17,创业板,492.01,-1.39,
2019-01-17,科创板,0.0,0.0,
2019-01-18,主板,2745.83,1.33,
2019-01-18,创业板,478.48,0.92,
2019-01-18,科创板,0.0,0.0,
2019-01-21,主板,2598.4,0.51,
2019-01-21,创业板,492.78,0.69,
2019-01-21,科创板,0.0,0.0,
2019-01-22,主板,2284.66,-1.22,
2019-01-22,创业板,473.38,-1.38,
2019-01-22,科创板,0.0,0.0,
2019-01-23,主板,1991.73,0.04,
2019-01-23,创业板,421.02,0.04,
2019-01-23,科创板,0.0,0.0,
2019-01-24,主板,2416.71,0.49,
2019-01-24,创业板,533.93,0.89,
2019-01-24,科创板,0.0,0.0,
2019-01-25,主板,2555.58,0.25,
2019-01-25,创业板,533.16,-0.53,
2019-01-25,科创板,0.0,0.0,
