security_code,security_name_factor,inquiry_announcement_date,inquiry_start_date,sw_level1_industry_code,sw_level2_industry_code,offline_market_value_threshold_10k_yuan,expected_fundraising_100m_yuan,offer_price_upper_yuan_factor,offer_price_lower_yuan_factor,lead_underwriter,sponsor,ipo_pe_pre_overallotment,industry_pe_at_ipo_factor,comparable_pe_avg_ex_nonrecurring_factor,revenue_cagr_3y_pct,latest_revenue_100m_yuan,issue_pb_factor
001220.SZ,世盟股份,2026-01-15,2026-01-20,1000042201000000,1000042282000000,6000.0,7.964105,,,中国国际金融股份有限公司,中国国际金融股份有限公司,,14.64,24.94,,10.281439,1.78
001221.SZ,悍高集团,2025-07-11,2025-07-16,1000042198000000,1000042272000000,6000.0,5.267317,,,国泰海通证券股份有限公司,国泰海通证券股份有限公司,,27.73,35.71,,28.567703,2.73
001233.SZ,海安集团,2025-11-06,2025-11-11,1000042194000000,1000042249000000,6000.0,30.76469,,,"国泰海通证券股份有限公司,东方证券股份有限公司",国泰海通证券股份有限公司,,26.38,16.31,,22.99893,1.85
001237.SZ,惠康科技,2026-04-30,2026-05-08,1000042211000000,1000042322000000,6000.0,19.657455,,,"财通证券股份有限公司,中国国际金融股份有限公司",财通证券股份有限公司,,29.81,37.2,,28.773447,2.46
001239.SZ,永达股份,2023-11-22,2023-11-27,1000042211000000,1000042325000000,6000.0,11.532283,,,国泰君安证券股份有限公司,国泰君安证券股份有限公司,,25.72,35.41,,8.330042,2.47
001257.SZ,盛龙股份,2026-03-12,2026-03-17,1000042192000000,1000042241000000,6000.0,16.42701,,,国投证券股份有限公司,国投证券股份有限公司,,39.85,27.4,,28.636872,2.06
001277.SZ,速达股份,,,1000042211000000,1000042323000000,,6.08,,,国信证券股份有限公司,国信证券股份有限公司,,21.17,21.55,,12.533511,1.78
001279.SZ,强邦新材,2024-09-13,2024-09-20,1000042198000000,1000042271000000,6000.0,7.330072,,,海通证券股份有限公司,海通证券股份有限公司,,31.55,23.4,,14.254984,1.75
001280.SZ,中国铀业,2025-11-13,2025-11-18,1000042192000000,1000042241000000,6000.0,41.853347,,,"中信建投证券股份有限公司,中信证券股份有限公司",中信建投证券股份有限公司,,27.57,33.12,28.07,172.787783,2.32
001282.SZ,三联锻造,2023-04-28,2023-05-05,1000042194000000,1000042249000000,6000.0,5.359048,,,安信证券股份有限公司,安信证券股份有限公司,,24.54,53.63,,10.49782687,2.41
001285.SZ,瑞立科密,2025-09-11,2025-09-15,1000042194000000,1000042249000000,6000.0,16.701197,,,中信证券股份有限公司,中信证券股份有限公司,,54.54,34.27,,19.773723,2.2
001286.SZ,陕西能源,2023-03-21,2023-03-24,1000042200000000,1000042280000000,6000.0,63.654414,,,"中信证券股份有限公司,西部证券股份有限公司","西部证券股份有限公司,中信证券股份有限公司",,21.96,49.45,,154.76771302,1.74
001287.SZ,中电港,2023-03-20,2023-03-23,1000042193000000,1000042246000000,6000.0,16.235911,,,中国国际金融股份有限公司,中国国际金融股份有限公司,,13.6,34.96,,383.910032,1.92
001306.SZ,夏厦精密,2023-10-27,2023-11-01,1000042211000000,1000042322000000,6000.0,8.313085,,,财通证券股份有限公司,财通证券股份有限公司,,29.9,78.41,,5.17594866,2.6
001312.SZ,福恩股份,2026-03-31,2026-04-03,1000042197000000,1000042267000000,6000.0,13.39531,,,中信证券股份有限公司,中信证券股份有限公司,,27.63,23.68,,18.128269,1.98
001324.SZ,长青科技,2023-04-27,2023-05-05,1000042211000000,1000042324000000,6000.0,6.03281,,,中信证券股份有限公司,中信证券股份有限公司,,44.51,58.36,,5.17614,2.5
