security_code,security_name,board,listing_date,listing_year,inquiry_deadline_date,subscription_deadline_date,source_file,sample_note,listing_date_raw,offer_price_yuan,total_issue_shares_10k,offline_issue_before_clawback_10k,online_issue_before_clawback_10k,online_issue_final_10k,offline_issue_final_10k,strategic_allocation_10k,other_issue_10k,underwriting_ratio_pct,clawback_ratio_pct,high_price_excluded_subscription_share_pct,excluded_subscription_share_pct,ipo_pe_diluted,issue_pb,industry_pe_at_ipo,comparable_pe_avg_ex_nonrecurring,online_lottery_rate_pct,online_oversubscription_ratio,offline_allotment_ratio_pct,offline_subscription_total_10k,offline_valid_quote_subscription_10k,offline_oversubscription_ratio,offline_oversubscription_ratio_before_clawback,offline_allotment_accounts,offline_inquiry_investors,a_investor_allotted_shares_10k,a_investor_subscription_shares_10k,a_investor_allotted_accounts,a_investor_lottery_rate_pct,inquiry_subscription_total_10k,inquiry_investors_count,inquiry_allotment_accounts,subscription_step_10k,subscription_upper_limit_10k,subscription_lower_limit_10k,quote_price_weighted_avg,quote_price_median,inquiry_deadline_date_raw,subscription_deadline_date_raw,first_day_return_pct,offer_price_upper_yuan,offer_price_lower_yuan,issue_amount_100m_yuan,offline_issue_before_share_pct,offline_issue_final_share_pct,strategic_allocation_share_pct,a_investor_subscription_share_pct,a_investor_allocation_share_pct,valid_to_total_subscription_pct,offline_accounts_per_investor,pe_vs_industry,pe_vs_comparable,log_offline_oversubscription,implied_offline_lottery_rate_pct,offline_lottery_gap_pct_point,has_offline_label,inquiry_oversubscription_ratio,quote_price_vs_offer,offer_price_range_pct,offer_price_position_in_range,sort_date_for_heat,recent_ipo_first_day_return_ma20,market_turnover_ma20,market_turnover_pct_rank_1y,market_turnover_ma20_over_ma60,market_return_ma20,concurrent_ipo_count,same_board_concurrent_ipo_count,concurrent_offline_issue_sum_10k,same_board_break_rate_ma10
688001.SH,华兴源创,科创板,2019-07-22,2019.0,2019-06-24,2019-06-27,全部科创板_网下打新数据.xlsx,科创板全样本,43668.0,24.26,4010.0,3083.2196,761.9,1146.45,2698.6696,164.8804,,0.0170299251870324,10.0,10.0111430414638,25.8958418861064,41.08,5.43,31.11,114.9,0.05985345,1670.7474,0.35596396,758130.0,758130.0,280.9273,257.62,1285.0,148.0,2185.9315,610170.0,1015.0,0.35824959,1023060.0,213.0,1746.0,10.0,600.0,400.0,25.2587,25.56,43640.0,43643.0,128.771640560594,,,9.72826,76.88826932668329,67.29849376558604,4.111730673316708,80.48355822879981,81.0003380925179,100.0,8.682432432432432,1.320475731276117,0.35752828546562226,5.6380959169990374,0.35596398071671925,-2.071671922898588e-08,True,331.8154827505637,1.041166529266282,,,2019-06-27,,4580.1750546534995,0.308411214953271,-0.23614790569925437,1.798007803339985,3.0,3.0,10804.0,
688002.SH,睿创微纳,科创板,2019-07-22,2019.0,2019-06-27,2019-07-02,全部科创板_网下打新数据.xlsx,科创板全样本,43668.0,20.0,6000.0,4380.0,1080.0,1626.0,3834.0,540.0,,0.02022,10.0,10.3490576558492,16.7256129618124,79.09,4.16,30.58,126.71,0.06025353,1659.6539,0.36674606,1045410.0,1045410.0,272.6682,238.6781,1580.0,181.0,3027.1715,825410.0,1194.0,0.36674762,1255380.0,218.0,1904.0,10.0,700.0,100.0,21.3538,21.72,43643.0,43648.0,151.0,,,12.0,73.0,63.9,9.0,78.95562506576367,78.95595983307251,100.0,8.7292817679558,2.586330935251799,0.6241812011680216,5.608255671390708,0.3667461038727655,-4.3872765531638436e-08,True,286.6164383561644,1.06769,,,2019-07-02,,4664.2383635095,0.38181818181818183,-0.1990234278491516,4.154948817610449,4.0,4.0,15834.3505,
688003.SH,天准科技,科创板,2019-07-22,2019.0,2019-06-27,2019-07-02,全部科创板_网下打新数据.xlsx,科创板全样本,43668.0,25.5,4840.0,3267.0,1379.4,1844.05,2802.35,193.6,,0.0419772727272727,10.0,10.0543850829487,35.7214021297016,57.48,3.18,31.26,49.68,0.05496516,1819.3341,0.39885426,702600.0,703240.0,250.7181,215.2556,1197.0,135.0,2326.0492,577560.0,933.0,0.40273724,1094050.0,206.0,1833.0,10.0,640.0,80.0,25.6144,25.9,43643.0,43648.0,85.8823529411765,,,12.342,67.5,57.89979338842976,4.0,82.20324508966695,83.00352204399879,100.0910902362653,8.866666666666667,1.8387715930902109,1.1570048309178744,5.524329200404139,0.3988543308201522,-7.082015218706772e-08,True,334.87909397000305,1.004486274509804,,,2019-07-02,,4664.2383635095,0.38181818181818183,-0.1990234278491516,4.154948817610449,4.0,4.0,16947.3505,
688004.SH,博汇科技,科创板,2020-06-12,2020.0,2020-05-29,2020-06-03,全部科创板_网下打新数据.xlsx,科创板全样本,43994.0,28.77,1420.0,944.3,404.7,539.6,809.4,71.0,,0.0413591549295775,10.0,10.0012698412698,16.1172486772487,35.53,5.29,59.45,98.75,0.03632051,2753.2657,0.04087404,1980230.0,1981730.0,2446.5406,2098.62,4184.0,314.0,622.6812,1245360.0,2406.0,0.0500001,2362500.0,378.0,4985.0,10.0,500.0,100.0,28.7791,28.8,43980.0,43985.0,340.736878693083,,,4.08534,66.49999999999999,56.99999999999999,5.0,62.88966433192103,76.93120830244625,100.07574877665726,13.32484076433121,0.5976450798990749,0.3597974683544304,7.8024303057273885,0.04087404067604682,-6.760468226896243e-10,True,2501.853224610823,1.000316301703163,,,2020-06-03,140.8433022094178,6365.0605108425,0.7222222222222222,-0.08502614969252875,1.4521606437741807,7.0,7.0,53141.900200000004,0.0
688005.SH,容百科技,科创板,2019-07-22,2019.0,2019-07-05,2019-07-10,全部科创板_网下打新数据.xlsx,科创板全样本,43668.0,26.62,4500.0,3465.0,855.0,1287.0,3033.0,180.0,,0.0205622222222222,10.0,10.0403977363774,14.4284858860936,58.21,3.77,31.11,43.13,0.05325666,1877.6995,0.2989267,1014630.0,1014630.0,334.5302,292.8225,1785.0,206.0,2458.3432,822320.0,1385.0,0.29895214,1185710.0,243.0,2121.0,10.0,600.0,100.0,27.9876,28.18,43651.0,43656.0,86.0631104432757,,,11.979,77.0,67.4,4.0,81.04629273725398,81.05318826244641,100.0,8.66504854368932,1.8711025393764065,1.3496406213772316,5.812727159498906,0.2989266738847494,2.611525057316655e-08,True,342.1962481962482,1.0513749060856499,,,2019-07-10,146.95331816346982,4679.759085787,0.3706896551724138,-0.11752409078623283,-0.039552623877636695,21.0,21.0,154539.25200000004,
688006.SH,杭可科技,科创板,2019-07-22,2019.0,2019-06-28,2019-07-03,全部科创板_网下打新数据.xlsx,科创板全样本,43668.0,27.43,4100.0,3157.0,779.0,1172.6,2763.4,164.0,,0.0305975609756098,10.0,10.018767261373,39.5833504068972,39.8,5.69,31.3,90.56,0.0586503,1705.0211,0.3748457,737210.0,737210.0,266.7764,233.52,1281.0,150.0,2576.9182,572330.0,936.0,0.45025041,1220210.0,242.0,2088.0,10.0,620.0,150.0,27.432,28.03,43644.0,43649.0,99.1250455705432,,,11.2463,77.0,67.4,4.0,77.63459529849025,93.25172613447202,100.0,8.54,1.2715654952076676,0.4394876325088339,5.586410854356912,0.3748457509734744,-5.097347438587363e-08,True,386.50934431422235,1.0000729128691213,,,2019-07-03,,4693.956693594,0.3963963963963964,-0.18222929595295323,4.665248107881825,13.0,13.0,138373.90709999998,
688007.SH,光峰科技,科创板,2019-07-22,2019.0,2019-07-05,2019-07-10,全部科创板_网下打新数据.xlsx,科创板全样本,43668.0,17.5,6800.0,4917.1315,1156.0,1763.35,4309.7815,726.8685,,0.0216573529411765,10.0,10.036755113385,20.6095222969677,47.89,4.44,31.11,112.02,0.05554904,1800.2112,0.30791412,1399670.0,1399670.0,324.7659,284.6517,1831.0,203.0,3508.1841,1044990.0,1302.0,0.33571251,1763020.0,262.0,2307.0,10.0,800.0,150.0,17.6214,17.78,43651.0,43656.0,121.942857142857,,,11.9,72.31075735294118,63.37913970588236,10.689242647058824,74.65974122471725,81.40050951538959,100.0,9.019704433497537,1.539376406300225,0.427512944117122,5.783104615091201,0.3079141005875309,1.9412469132173982e-08,True,358.5464411517162,1.006937142857143,,,2019-07-10,149.22699643807098,4679.759085787,0.3706896551724138,-0.11752409078623283,-0.039552623877636695,21.0,21.0,153087.12050000002,
688008.SH,澜起科技,科创板,2019-07-22,2019.0,2019-07-03,2019-07-08,全部科创板_网下打新数据.xlsx,科创板全样本,43668.0,24.8,11298.1389,6327.1309,1581.75,2372.65,5536.2309,3389.258,,0.0261228864870833,10.0,10.0451460693793,10.1033990621268,40.12,4.4,30.93,85.16,0.06125237,1632.5898,0.35874773,1543210.0,1543210.0,278.7474,243.9,1757.0,190.0,4618.0896,1286760.0,1390.0,0.35889285,1716650.0,214.0,1967.0,10.0,1000.0,80.0,26.8096,26.85,43649.0,43654.0,202.096774193548,,,28.019384472,56.00153225236061,49.00126427017108,29.998374334024163,83.3820413294367,83.41576938201766,100.0,9.24736842105263,1.2971225347559003,0.47111319868482854,5.630305995376569,0.3587477407861024,-1.0786102400128783e-08,True,271.31570804074875,1.0810322580645162,,,2019-07-08,,4735.8740280024995,0.41228070175438597,-0.13200426747132843,6.268177575803402,23.0,23.0,159324.12110000005,
688009.SH,中国通号,科创板,2019-07-22,2019.0,2019-07-05,2019-07-10,全部科创板_网下打新数据.xlsx,科创板全样本,43668.0,5.85,180000.0,100800.0,25200.0,37800.0,88200.0,54000.0,,0.0210995,10.0,10.0709885179226,21.1519051854221,18.8,1.58,37.96,72.3,0.22538262,443.6899,0.69864706,12624400.0,12624400.0,143.1338,125.24,1208.0,152.0,77046.5265,10006040.0,895.0,0.77000018,16011040.0,211.0,1595.0,10.0,20000.0,400.0,5.9313,5.95,43651.0,43656.0,109.74358974359,,,105.3,56.00000000000001,49.0,30.0,79.25952916574252,87.35433843537416,100.0,7.947368421052632,0.4952581664910432,0.2600276625172891,4.963779857134553,0.6986470002193751,5.978062489475633e-08,True,158.83968253968254,1.013897435897436,,,2019-07-10,153.17533710751906,4679.759085787,0.3706896551724138,-0.11752409078623283,-0.039552623877636695,21.0,21.0,57204.25199999999,
688010.SH,福光股份,科创板,2019-07-22,2019.0,2019-07-05,2019-07-10,全部科创板_网下打新数据.xlsx,科创板全样本,43668.0,25.22,3880.0,2625.3958,1096.0,1468.15,2253.2458,158.6042,,0.0382164948453608,10.0,10.0142891164563,38.1528569073223,49.39,2.29,28.25,73.9,0.05020046,1992.0135,0.33371037,675210.0,675210.0,299.661,257.18,1398.0,160.0,1757.5534,518830.0,1021.0,0.33875323,1091740.0,249.0,2241.0,10.0,510.0,100.0,25.2312,25.46,43651.0,43656.0,92.9817605075337,,,9.785359999999999,67.66484020618556,58.073345360824746,4.087737113402062,76.83979798877387,78.00096199003232,100.0,8.7375,1.7483185840707964,0.6683355886332882,5.7026518357248275,0.3337104261148431,-5.6114843105525836e-08,True,415.83825189329553,1.0004440919904838,,,2019-07-10,142.2694560311472,4679.759085787,0.3706896551724138,-0.11752409078623283,-0.039552623877636695,21.0,21.0,155378.8562,
