trade_date,sw_level1_industry_name,turnover_100m_yuan,return_pct,turnover_rate_pct
2019-01-02,交通运输(申万),41.32,-0.48,0.26
2019-01-02,传媒(申万),99.24,-0.52,1.2
2019-01-02,公用事业(申万),66.86,-1.07,0.42
2019-01-02,农林牧渔(申万),49.84,-0.24,0.86
2019-01-02,医药生物(申万),206.75,-2.89,0.8
2019-01-02,商贸零售(申万),30.26,-0.48,0.52
2019-01-02,国防军工(申万),45.41,0.95,0.78
2019-01-02,基础化工(申万),125.96,-0.79,0.5
2019-01-02,家用电器(申万),49.31,-0.49,0.7
2019-01-02,建筑材料(申万),38.39,-0.88,0.85
2019-01-02,建筑装饰(申万),70.6,-0.68,0.46
2019-01-02,房地产(申万),83.52,-0.77,0.54
2019-01-02,有色金属(申万),86.36,-1.23,0.76
2019-01-02,机械设备(申万),92.38,-0.65,0.67
2019-01-02,汽车(申万),64.74,-1.49,0.52
2019-01-02,煤炭(申万),16.51,-1.22,0.39
2019-01-02,环保(申万),27.24,-0.05,0.69
2019-01-02,电力设备(申万),110.6,-0.44,0.92
2019-01-02,电子(申万),183.87,-0.48,1.07
2019-01-02,石油石化(申万),30.91,-0.81,0.17
2019-01-02,社会服务(申万),14.79,-1.84,0.69
2019-01-02,纺织服饰(申万),29.22,-0.72,0.74
2019-01-02,综合(申万),20.13,-0.32,0.88
2019-01-02,美容护理(申万),13.85,0.44,1.98
2019-01-02,计算机(申万),128.22,-0.16,1.09
2019-01-02,轻工制造(申万),53.08,-0.72,0.97
2019-01-02,通信(申万),201.02,1.83,2.47
2019-01-02,钢铁(申万),21.99,-1.68,0.33
2019-01-02,银行(申万),71.31,-1.66,0.1
2019-01-02,非银金融(申万),142.03,-1.06,0.59
2019-01-02,食品饮料(申万),102.2,-0.71,0.53
2019-01-03,交通运输(申万),46.38,-0.26,0.3
2019-01-03,传媒(申万),119.96,-0.56,1.57
2019-01-03,公用事业(申万),70.34,-0.47,0.45
2019-01-03,农林牧渔(申万),54.65,-0.14,0.96
2019-01-03,医药生物(申万),184.74,-1.88,0.76
2019-01-03,商贸零售(申万),31.02,0.08,0.54
2019-01-03,国防军工(申万),94.85,3.22,1.7
2019-01-03,基础化工(申万),129.63,-0.97,0.51
2019-01-03,家用电器(申万),44.22,-0.53,0.75
2019-01-03,建筑材料(申万),37.21,-1.73,0.83
2019-01-03,建筑装饰(申万),69.35,-0.15,0.46
2019-01-03,房地产(申万),91.53,-0.12,0.57
2019-01-03,有色金属(申万),108.3,1.09,0.94
2019-01-03,机械设备(申万),108.04,-0.21,0.76
2019-01-03,汽车(申万),85.62,-0.95,0.69
2019-01-03,煤炭(申万),14.53,-0.31,0.36
2019-01-03,环保(申万),32.39,-0.85,0.8
2019-01-03,电力设备(申万),118.2,-0.13,1.06
2019-01-03,电子(申万),207.43,-1.86,1.2
2019-01-03,石油石化(申万),25.68,0.21,0.14
2019-01-03,社会服务(申万),16.92,-2.66,0.7
2019-01-03,纺织服饰(申万),30.49,-0.83,0.82
2019-01-03,综合(申万),23.59,-1.15,0.98
2019-01-03,美容护理(申万),16.9,-1.94,2.38
2019-01-03,计算机(申万),143.12,-0.52,1.21
2019-01-03,轻工制造(申万),60.94,-0.85,1.15
2019-01-03,通信(申万),238.77,-2.34,2.99
2019-01-03,钢铁(申万),23.82,0.49,0.36
2019-01-03,银行(申万),60.61,0.88,0.09
2019-01-03,非银金融(申万),193.06,1.51,0.96
2019-01-03,食品饮料(申万),90.91,-1.91,0.6
2019-01-04,交通运输(申万),54.25,1.52,0.38
2019-01-04,传媒(申万),153.1,2.95,1.86
2019-01-04,公用事业(申万),84.54,1.3,0.54
2019-01-04,农林牧渔(申万),78.21,2.32,1.44
2019-01-04,医药生物(申万),226.97,2.75,1.04
2019-01-04,商贸零售(申万),41.85,2.31,0.74
2019-01-04,国防军工(申万),93.82,2.41,1.88
2019-01-04,基础化工(申万),159.06,2.02,0.66
2019-01-04,家用电器(申万),65.85,2.16,1.03
2019-01-04,建筑材料(申万),46.33,2.19,1.06
2019-01-04,建筑装饰(申万),92.97,2.29,0.65
2019-01-04,房地产(申万),121.55,2.6,0.9
2019-01-04,有色金属(申万),137.98,2.42,1.11
2019-01-04,机械设备(申万),140.43,2.44,1.01
2019-01-04,汽车(申万),97.47,1.57,0.82
2019-01-04,煤炭(申万),20.12,2.16,0.46
2019-01-04,环保(申万),37.12,1.74,0.95
2019-01-04,电力设备(申万),185.13,3.09,1.66
2019-01-04,电子(申万),239.49,2.1,1.56
2019-01-04,石油石化(申万),34.03,1.62,0.19
2019-01-04,社会服务(申万),18.16,0.86,0.87
2019-01-04,纺织服饰(申万),35.48,1.84,1.0
2019-01-04,综合(申万),23.17,2.47,1.04
2019-01-04,美容护理(申万),12.95,1.32,2.08
2019-01-04,计算机(申万),205.58,3.97,1.76
2019-01-04,轻工制造(申万),65.3,2.03,1.43
2019-01-04,通信(申万),206.08,1.86,2.74
2019-01-04,钢铁(申万),28.4,1.68,0.47
2019-01-04,银行(申万),109.51,2.06,0.14
2019-01-04,非银金融(申万),367.82,4.35,1.86
2019-01-04,食品饮料(申万),96.16,1.83,0.7
2019-01-07,交通运输(申万),63.01,1.22,0.44
2019-01-07,传媒(申万),157.96,1.71,1.89
2019-01-07,公用事业(申万),84.16,1.04,0.55
2019-01-07,农林牧渔(申万),92.2,2.34,1.55
2019-01-07,医药生物(申万),207.56,0.67,0.96
2019-01-07,商贸零售(申万),43.86,1.23,0.77
2019-01-07,国防军工(申万),121.91,4.34,2.29
2019-01-07,基础化工(申万),172.4,1.51,0.72
2019-01-07,家用电器(申万),68.58,0.42,1.22
2019-01-07,建筑材料(申万),47.71,1.82,1.16
2019-01-07,建筑装饰(申万),106.8,1.27,0.73
2019-01-07,房地产(申万),118.32,0.77,0.81
2019-01-07,有色金属(申万),151.0,1.85,1.21
2019-01-07,机械设备(申万),172.81,2.34,1.29
2019-01-07,汽车(申万),110.35,1.45,0.95
2019-01-07,煤炭(申万),24.52,1.33,0.66
2019-01-07,环保(申万),37.24,1.6,0.96
2019-01-07,电力设备(申万),214.33,3.26,1.91
2019-01-07,电子(申万),281.66,2.87,1.73
2019-01-07,石油石化(申万),37.03,1.53,0.21
2019-01-07,社会服务(申万),17.7,1.42,0.9
2019-01-07,纺织服饰(申万),36.15,1.32,0.99
2019-01-07,综合(申万),24.99,1.94,1.09
2019-01-07,美容护理(申万),15.73,0.7,2.45
2019-01-07,计算机(申万),247.73,2.76,2.01
2019-01-07,轻工制造(申万),71.01,1.38,1.6
2019-01-07,通信(申万),257.71,3.19,3.24
2019-01-07,钢铁(申万),33.09,1.37,0.52
2019-01-07,银行(申万),84.97,-0.22,0.12
2019-01-07,非银金融(申万),332.96,-0.35,1.63
2019-01-07,食品饮料(申万),98.76,0.88,0.74
2019-01-08,交通运输(申万),61.8,0.0,0.49
2019-01-08,传媒(申万),139.1,0.06,1.74
2019-01-08,公用事业(申万),93.0,0.57,0.57
2019-01-08,农林牧渔(申万),65.92,-0.73,1.16
2019-01-08,医药生物(申万),167.87,-0.07,0.79
2019-01-08,商贸零售(申万),34.14,0.07,0.6
2019-01-08,国防军工(申万),109.74,-1.86,2.02
2019-01-08,基础化工(申万),145.95,0.1,0.61
2019-01-08,家用电器(申万),58.89,0.16,1.43
2019-01-08,建筑材料(申万),44.49,0.38,1.11
2019-01-08,建筑装饰(申万),93.55,0.01,0.65
2019-01-08,房地产(申万),85.97,-0.53,0.61
2019-01-08,有色金属(申万),133.87,-1.34,1.07
2019-01-08,机械设备(申万),177.29,0.15,1.32
2019-01-08,汽车(申万),94.89,-0.16,0.84
2019-01-08,煤炭(申万),21.14,0.2,0.68
2019-01-08,环保(申万),29.01,-0.64,0.75
2019-01-08,电力设备(申万),204.55,-0.09,1.93
2019-01-08,电子(申万),270.53,0.41,1.91
2019-01-08,石油石化(申万),31.68,0.6,0.18
2019-01-08,社会服务(申万),16.13,0.64,0.77
2019-01-08,纺织服饰(申万),33.99,0.25,0.89
2019-01-08,综合(申万),21.97,-0.02,0.92
2019-01-08,美容护理(申万),12.68,0.12,1.9
2019-01-08,计算机(申万),182.88,-0.52,1.64
2019-01-08,轻工制造(申万),63.07,-0.1,1.35
2019-01-08,通信(申万),229.71,-0.55,2.87
2019-01-08,钢铁(申万),23.24,-0.29,0.36
2019-01-08,银行(申万),58.15,-0.43,0.09
2019-01-08,非银金融(申万),266.13,-0.32,1.38
2019-01-08,食品饮料(申万),78.21,-0.37,0.58
2019-01-09,交通运输(申万),71.84,0.46,0.52
2019-01-09,传媒(申万),168.02,0.23,2.0
2019-01-09,公用事业(申万),106.33,-0.37,0.64
2019-01-09,农林牧渔(申万),75.48,-0.04,1.3
2019-01-09,医药生物(申万),227.27,0.83,1.05
2019-01-09,商贸零售(申万),53.9,0.5,0.89
2019-01-09,国防军工(申万),92.0,-1.06,1.64
2019-01-09,基础化工(申万),213.6,0.89,0.84
2019-01-09,家用电器(申万),157.09,3.9,2.14
2019-01-09,建筑材料(申万),48.93,0.05,1.15
2019-01-09,建筑装饰(申万),109.73,-0.18,0.74
2019-01-09,房地产(申万),112.21,0.64,0.78
2019-01-09,有色金属(申万),155.45,0.03,1.19
2019-01-09,机械设备(申万),194.25,-0.18,1.42
2019-01-09,汽车(申万),175.87,1.72,1.44
2019-01-09,煤炭(申万),26.3,0.23,0.63
2019-01-09,环保(申万),35.71,-0.13,0.94
2019-01-09,电力设备(申万),219.78,0.29,2.01
2019-01-09,电子(申万),330.93,0.75,2.17
2019-01-09,石油石化(申万),39.79,0.7,0.21
2019-01-09,社会服务(申万),23.67,1.55,1.01
2019-01-09,纺织服饰(申万),45.04,0.52,1.19
2019-01-09,综合(申万),28.71,0.35,1.2
2019-01-09,美容护理(申万),13.72,2.36,2.01
2019-01-09,计算机(申万),209.93,-0.04,1.85
2019-01-09,轻工制造(申万),82.03,0.62,1.72
2019-01-09,通信(申万),280.45,0.51,3.63
2019-01-09,钢铁(申万),37.39,0.76,0.57
2019-01-09,银行(申万),108.01,0.85,0.15
2019-01-09,非银金融(申万),290.81,0.96,1.39
2019-01-09,食品饮料(申万),127.04,1.52,0.87
2019-01-10,交通运输(申万),59.98,-0.42,0.43
2019-01-10,传媒(申万),154.63,-0.08,1.89
2019-01-10,公用事业(申万),88.55,-0.27,0.55
2019-01-10,农林牧渔(申万),63.85,0.07,1.1
2019-01-10,医药生物(申万),185.09,-0.55,0.86
2019-01-10,商贸零售(申万),37.88,-0.29,0.66
2019-01-10,国防军工(申万),67.02,-0.22,1.18
2019-01-10,基础化工(申万),170.14,-0.28,0.72
2019-01-10,家用电器(申万),89.81,0.01,1.57
2019-01-10,建筑材料(申万),39.19,0.21,0.93
2019-01-10,建筑装饰(申万),89.34,-0.65,0.57
2019-01-10,房地产(申万),81.34,-0.8,0.56
2019-01-10,有色金属(申万),127.48,-0.1,0.99
2019-01-10,机械设备(申万),159.52,-0.18,1.18
2019-01-10,汽车(申万),118.37,-0.9,1.1
2019-01-10,煤炭(申万),20.77,0.18,0.62
2019-01-10,环保(申万),33.64,0.28,0.9
2019-01-10,电力设备(申万),234.79,1.71,2.18
2019-01-10,电子(申万),279.37,0.07,1.82
2019-01-10,石油石化(申万),30.18,-0.18,0.16
2019-01-10,社会服务(申万),15.01,-0.49,0.76
2019-01-10,纺织服饰(申万),36.65,-0.24,1.02
2019-01-10,综合(申万),21.32,-0.38,0.9
2019-01-10,美容护理(申万),18.2,-0.42,2.28
2019-01-10,计算机(申万),178.96,-0.35,1.51
2019-01-10,轻工制造(申万),75.59,-0.16,1.49
2019-01-10,通信(申万),275.21,1.07,3.4
2019-01-10,钢铁(申万),26.03,-0.29,0.39
2019-01-10,银行(申万),94.35,-0.25,0.13
2019-01-10,非银金融(申万),251.57,-0.34,1.13
2019-01-10,食品饮料(申万),77.94,-0.06,0.59
2019-01-11,交通运输(申万),65.33,0.87,0.44
2019-01-11,传媒(申万),126.15,0.61,1.61
2019-01-11,公用事业(申万),80.48,0.29,0.51
2019-01-11,农林牧渔(申万),58.89,0.41,1.19
2019-01-11,医药生物(申万),155.74,0.11,0.75
2019-01-11,商贸零售(申万),34.74,0.82,0.61
2019-01-11,国防军工(申万),78.25,1.46,1.28
2019-01-11,基础化工(申万),165.29,0.63,0.68
2019-01-11,家用电器(申万),72.79,0.57,1.32
2019-01-11,建筑材料(申万),47.84,1.37,1.07
2019-01-11,建筑装饰(申万),83.7,0.76,0.59
2019-01-11,房地产(申万),76.48,0.7,0.55
2019-01-11,有色金属(申万),130.46,0.9,1.12
2019-01-11,机械设备(申万),167.71,0.93,1.17
2019-01-11,汽车(申万),100.26,0.82,0.97
2019-01-11,煤炭(申万),22.34,1.36,0.6
2019-01-11,环保(申万),33.96,0.37,0.89
2019-01-11,电力设备(申万),201.51,0.24,1.9
2019-01-11,电子(申万),269.6,0.85,1.77
2019-01-11,石油石化(申万),25.17,0.47,0.13
2019-01-11,社会服务(申万),12.12,0.54,0.59
2019-01-11,纺织服饰(申万),33.79,0.39,1.0
2019-01-11,综合(申万),20.33,0.63,0.94
2019-01-11,美容护理(申万),16.8,0.93,2.11
2019-01-11,计算机(申万),183.63,0.82,1.57
2019-01-11,轻工制造(申万),68.77,0.61,1.35
2019-01-11,通信(申万),314.63,1.3,3.72
2019-01-11,钢铁(申万),20.72,0.75,0.34
2019-01-11,银行(申万),82.72,0.85,0.11
2019-01-11,非银金融(申万),184.57,0.75,0.85
2019-01-11,食品饮料(申万),90.86,1.83,0.64
2019-01-14,交通运输(申万),52.36,-0.9,0.34
2019-01-14,传媒(申万),138.8,-1.15,1.76
2019-01-14,公用事业(申万),84.22,-0.4,0.5
2019-01-14,农林牧渔(申万),69.01,0.01,1.33
2019-01-14,医药生物(申万),170.56,-1.49,0.81
2019-01-14,商贸零售(申万),38.87,-0.15,0.7
2019-01-14,国防军工(申万),64.19,-0.91,1.02
2019-01-14,基础化工(申万),159.89,-0.47,0.66
2019-01-14,家用电器(申万),55.46,-0.59,1.04
2019-01-14,建筑材料(申万),44.56,0.02,1.04
2019-01-14,建筑装饰(申万),96.73,-0.74,0.61
2019-01-14,房地产(申万),73.85,-0.75,0.53
2019-01-14,有色金属(申万),131.19,-0.08,1.15
2019-01-14,机械设备(申万),159.03,-0.05,1.15
2019-01-14,汽车(申万),111.59,-0.54,1.01
2019-01-14,煤炭(申万),34.36,1.7,0.67
2019-01-14,环保(申万),35.12,-0.23,0.9
2019-01-14,电力设备(申万),180.95,-0.64,1.85
2019-01-14,电子(申万),240.86,-1.2,1.63
2019-01-14,石油石化(申万),22.19,-0.82,0.12
2019-01-14,社会服务(申万),12.45,-2.25,0.64
2019-01-14,纺织服饰(申万),35.41,-0.28,1.06
2019-01-14,综合(申万),21.74,0.25,0.93
2019-01-14,美容护理(申万),19.65,0.26,2.33
2019-01-14,计算机(申万),156.41,-1.27,1.35
2019-01-14,轻工制造(申万),78.56,-0.65,1.55
2019-01-14,通信(申万),243.74,-0.49,2.93
2019-01-14,钢铁(申万),42.13,1.22,0.65
2019-01-14,银行(申万),70.79,-0.68,0.1
2019-01-14,非银金融(申万),168.91,-0.93,0.74
2019-01-14,食品饮料(申万),72.41,-1.35,0.56
2019-01-15,交通运输(申万),54.0,0.77,0.34
2019-01-15,传媒(申万),133.99,1.14,1.51
2019-01-15,公用事业(申万),89.06,0.51,0.57
2019-01-15,农林牧渔(申万),66.58,0.14,1.18
2019-01-15,医药生物(申万),191.21,2.17,0.85
2019-01-15,商贸零售(申万),38.48,0.86,0.68
2019-01-15,国防军工(申万),60.8,0.88,1.0
2019-01-15,基础化工(申万),176.48,0.86,0.71
2019-01-15,家用电器(申万),91.98,2.87,1.3
2019-01-15,建筑材料(申万),49.01,1.67,1.08
2019-01-15,建筑装饰(申万),96.22,0.95,0.68
2019-01-15,房地产(申万),91.11,0.71,0.59
2019-01-15,有色金属(申万),123.24,0.65,1.03
2019-01-15,机械设备(申万),185.45,1.55,1.34
2019-01-15,汽车(申万),105.95,0.8,0.91
2019-01-15,煤炭(申万),37.92,-0.62,1.14
2019-01-15,环保(申万),44.83,0.61,1.26
2019-01-15,电力设备(申万),198.68,1.82,1.87
2019-01-15,电子(申万),248.66,1.8,1.58
2019-01-15,石油石化(申万),24.43,0.7,0.13
2019-01-15,社会服务(申万),16.57,2.35,0.77
2019-01-15,纺织服饰(申万),36.13,1.02,1.0
2019-01-15,综合(申万),19.41,0.51,0.86
2019-01-15,美容护理(申万),16.12,0.55,2.11
2019-01-15,计算机(申万),193.9,2.24,1.71
