model,feature,importance_gain,importance_split
lgbm_t6,num__subscription_step_10k,7882.3613078817725,59
lgbm_t6,cat__board_北交所,2085.3343678563833,9
lgbm_t6,num__subscription_upper_limit_10k,1429.3138993270695,627
lgbm_t6,cat__board_主板,879.1474800445139,44
lgbm_t6,num__recent_ipo_first_day_return_ma20,561.9061284796335,924
lgbm_t6,num__offline_issue_before_clawback_10k,522.2129924353212,531
lgbm_t6,num__offline_issue_before_share_pct,397.2650415431708,625
lgbm_t6,num__strategic_allocation_share_pct,391.23533668462187,379
lgbm_t6,num__total_issue_shares_10k,341.65436143707484,440
lgbm_t6,cat__board_科创板,316.49951400700957,66
lgbm_t6,num__subscription_lower_limit_10k,284.8666346948594,297
lgbm_t6,num__online_issue_before_clawback_10k,271.6513617374003,389
lgbm_t6,num__industry_pe_at_ipo,254.89891774673015,721
lgbm_t6,num__strategic_allocation_10k,152.01838417723775,454
lgbm_t6,num__comparable_pe_avg_ex_nonrecurring,112.99254307989031,473
lgbm_t6,cat__board_创业板,107.46141508594155,31
lgbm_t1,num__inquiry_oversubscription_ratio,8477.051333477022,929
lgbm_t1,num__inquiry_allotment_accounts,5582.446624884207,382
lgbm_t1,num__inquiry_investors_count,978.0149414610933,563
lgbm_t1,num__excluded_subscription_share_pct,473.58103145408677,703
lgbm_t1,num__issue_amount_100m_yuan,214.26531778270146,295
lgbm_t1,num__subscription_step_10k,114.21329393051565,6
lgbm_t1,cat__board_主板,94.89835568249691,63
lgbm_t1,num__inquiry_subscription_total_10k,85.7042425032705,214
lgbm_t1,cat__board_科创板,42.005501565290615,174
lgbm_t1,num__offline_issue_before_share_pct,41.7274745805189,397
lgbm_t1,num__high_price_excluded_subscription_share_pct,41.60208424800658,155
lgbm_t1,num__subscription_upper_limit_10k,33.21897889126558,102
lgbm_t1,cat__board_创业板,26.392784004972782,60
lgbm_t1,num__offline_issue_before_clawback_10k,22.81416901369812,142
lgbm_t1,num__quote_price_vs_offer,21.282195018662605,203
lgbm_t1,num__recent_ipo_first_day_return_ma20,18.032603286905214,222
lgbm_t1,num__online_issue_before_clawback_10k,15.2359593755682,150
lgbm_t1,num__total_issue_shares_10k,10.37548302434152,131
lgbm_t1,num__strategic_allocation_share_pct,5.03038869984448,138
lgbm_t1,num__ipo_pe_diluted,5.018097984837368,122
lgbm_t1,num__subscription_lower_limit_10k,4.786947752349079,134
lgbm_t1,num__strategic_allocation_10k,3.7714596709120087,138
lgbm_t1,num__offer_price_yuan,3.6186619969666936,97
lgbm_t1,num__quote_price_median,3.379490311490372,48
lgbm_t1,num__pe_vs_industry,3.302818774129264,75
lgbm_t1,num__issue_pb,2.7130547085544094,117
lgbm_t1,num__industry_pe_at_ipo,1.6249691575649194,98
lgbm_t1,num__quote_price_weighted_avg,1.3290927250636742,70
lgbm_t1,num__comparable_pe_avg_ex_nonrecurring,0.7030870136804879,101
lgbm_t1,num__pe_vs_comparable,0.5741843805881217,61
lgbm_t1,cat__board_北交所,0.0,0
lgbm_t1plus,num__inquiry_oversubscription_ratio,11860.789329896957,959
lgbm_t1plus,num__inquiry_allotment_accounts,2724.934566549782,322
lgbm_t1plus,num__inquiry_investors_count,595.4808130234014,476
lgbm_t1plus,num__excluded_subscription_share_pct,443.7493369409931,791
lgbm_t1plus,num__clawback_ratio_pct,205.6180483615026,154
lgbm_t1plus,num__offline_issue_final_share_pct,122.68052990391152,258
lgbm_t1plus,num__issue_amount_100m_yuan,90.62299839721527,221
lgbm_t1plus,cat__board_主板,80.13735004514456,3
lgbm_t1plus,num__inquiry_subscription_total_10k,56.42545782745583,209
lgbm_t1plus,num__quote_price_vs_offer,26.433558595832437,245
lgbm_t1plus,num__recent_ipo_first_day_return_ma20,25.152672433643602,196
lgbm_t1plus,num__high_price_excluded_subscription_share_pct,18.743204868689645,126
lgbm_t1plus,num__offline_issue_before_share_pct,10.841355294222012,304
lgbm_t1plus,num__offline_issue_final_10k,7.3447852386161685,100
lgbm_t1plus,num__offline_issue_before_clawback_10k,6.3578517970163375,98
lgbm_t1plus,cat__board_科创板,6.240836724638939,27
lgbm_t1plus,num__subscription_upper_limit_10k,5.485698129457887,78
lgbm_t1plus,cat__board_创业板,5.236246404238045,19
lgbm_t1plus,num__online_issue_before_clawback_10k,4.789291943481658,78
lgbm_t1plus,num__ipo_pe_diluted,4.502632008865476,104
lgbm_t1plus,num__strategic_allocation_share_pct,4.414662487106398,156
lgbm_t1plus,num__online_issue_final_10k,4.142378353280947,56
lgbm_t1plus,num__subscription_lower_limit_10k,3.4479746232391335,128
lgbm_t1plus,num__offer_price_yuan,2.895782300940482,93
lgbm_t1plus,num__quote_price_median,2.8555156379006803,38
lgbm_t1plus,num__strategic_allocation_10k,2.434319086780306,120
lgbm_t1plus,num__quote_price_weighted_avg,1.3687630236963741,67
lgbm_t1plus,num__total_issue_shares_10k,1.3424108358449303,68
lgbm_t1plus,num__issue_pb,1.1162270006607287,64
lgbm_t1plus,num__pe_vs_comparable,1.0387927302217577,62
lgbm_t1plus,num__pe_vs_industry,0.7021125700557604,50
lgbm_t1plus,num__industry_pe_at_ipo,0.6329625029466115,93
lgbm_t1plus,num__subscription_step_10k,0.6258495785295963,2
lgbm_t1plus,num__comparable_pe_avg_ex_nonrecurring,0.469741991837509,62
lgbm_t1plus,cat__board_北交所,0.0,0
