model,board,n,mae,rmse,r2,spearman
board_mean,主板,105,0.6633963862260817,0.8881247051315051,-2.3505029349778015,0.17379708744176772
board_mean,创业板,284,0.22483574594264813,0.29031513969376216,-0.17999835183529922,-0.39025429995142896
board_mean,北交所,6,1.686000368137601,1.8562392029507473,-0.04630036156609818,-0.9258200997725515
board_mean,科创板,229,0.38202656591025347,0.4628201558898306,-0.11422948078894768,0.3010574804222514
board_recent_mean,主板,105,0.6432293709621101,0.8836265677872183,-2.316649903435907,0.17379708744176772
board_recent_mean,创业板,284,0.23121857003817337,0.29077237183120913,-0.18371815810052872,-0.059848814175114375
board_recent_mean,北交所,6,1.6840801708640747,1.8540488890779345,-0.04383260406497502,0.0
board_recent_mean,科创板,229,0.3201785098670131,0.42764999616787913,0.048679048849262885,0.2575917322669152
lgbm_inquiry,主板,105,0.36162466619866884,0.4932178200005808,-0.03333138236350197,0.6316296910636532
lgbm_inquiry,创业板,284,0.05153862956134729,0.0695856062614442,0.9322076229105827,0.9794544840177386
lgbm_inquiry,北交所,6,0.7737602384145075,1.0080761611267401,0.6914147355940448,0.8857142857142858
lgbm_inquiry,科创板,229,0.05803577966817785,0.1121276543173251,0.9346003249744004,0.9875580825997025
ridge_basic,主板,105,0.9042957092631574,1.3729265950777327,-7.006758624589732,0.36856728177482895
ridge_basic,创业板,284,0.21255446472575837,0.2736263538433419,-0.04823312206245789,0.657369547394091
ridge_basic,北交所,6,1.9823822118675036,2.2860340212846153,-0.5869157594110299,-0.7714285714285715
ridge_basic,科创板,229,0.32622963653244536,0.41132835103189935,0.119909353228283,0.6206369350374228
ridge_inquiry,主板,105,0.7551086741462973,1.0839970057590136,-3.991352775394092,0.5351441011818371
ridge_inquiry,创业板,284,0.18727360406367247,0.7078811498941951,-6.0155661999419126,0.9493010134453735
ridge_inquiry,北交所,6,1.759575515930548,1.9046589360276538,-0.10159747437224942,-0.028571428571428574
ridge_inquiry,科创板,229,0.2464215802310648,0.27826304230322446,0.5972262351088975,0.9603089744486527
