model,stage,listing_year,n,mae,rmse,r2,spearman
board_mean_t6,T6,2022.0,242,0.3210799701157783,0.4138190990474591,0.5923090477806313,0.3071591363057407
board_mean_t6,T6,2023.0,204,0.4860080770275693,0.7068556378919312,0.37262914494717236,-0.32645362116939763
board_mean_t6,T6,2024.0,66,0.22798942203343847,0.32435156546621846,0.6343057121726745,0.7763749808903014
board_mean_t6,T6,2025.0,83,0.2750253507535278,0.37459587530893224,0.499604488469923,0.829723847883207
board_mean_t6,T6,2026.0,29,0.5651259225976581,0.7076792749173052,0.11620906698396483,0.9242207573422638
lgbm_t1,T1,2022.0,242,0.06597555503834422,0.11883772443624463,0.9663783776313448,0.9812484203280128
lgbm_t1,T1,2023.0,204,0.16974829942653058,0.3407981663923321,0.8541664708757688,0.9141104381197391
lgbm_t1,T1,2024.0,66,0.10674061152892947,0.18702511072850755,0.878413314100134,0.9276902202275338
lgbm_t1,T1,2025.0,83,0.06585430599256321,0.09358650482385611,0.9687669871855913,0.9792410058351874
lgbm_t1,T1,2026.0,29,0.18002570419260908,0.2980510293586707,0.843231847676384,0.9620689655172412
lgbm_t1plus,T1PLUS,2022.0,242,0.05615819703207297,0.1073515957418139,0.972563606652571,0.985197547375342
lgbm_t1plus,T1PLUS,2023.0,204,0.1640221934729973,0.3308332183951067,0.8625701392439028,0.9209193517608895
lgbm_t1plus,T1PLUS,2024.0,66,0.09245166961555742,0.17247321598998452,0.8965978657530824,0.9466444003757437
lgbm_t1plus,T1PLUS,2025.0,83,0.06766158089219534,0.0923363290370752,0.9695958663770499,0.9846563956173124
lgbm_t1plus,T1PLUS,2026.0,29,0.1731381171100533,0.27164749032150887,0.8697769143609673,0.9773399014778321
lgbm_t6,T6,2022.0,242,0.25344058108216055,0.33931361141239735,0.7258977662706063,0.5609212541187898
lgbm_t6,T6,2023.0,204,0.3448153745182524,0.5151586999589205,0.6667693318481487,0.47518923465096724
lgbm_t6,T6,2024.0,66,0.40340542361168125,0.5747146840685503,-0.14812921253576827,0.5350380962321262
lgbm_t6,T6,2025.0,83,0.22941680196611333,0.2807134291897387,0.7189951584912273,0.8388606691574659
lgbm_t6,T6,2026.0,29,0.4962736677802615,0.7194612910180525,0.08653596491282667,0.8940886699507388
ridge_t1,T1,2022.0,242,0.3890976660696239,0.905736644007704,-0.9530523707937304,0.8790478234713116
ridge_t1,T1,2023.0,204,0.5523115317967695,1.1022285689418896,-0.5254789304620509,0.17636457442522846
ridge_t1,T1,2024.0,66,0.18277926545052667,0.3600374280040757,0.5494100706118736,0.8996764429600251
ridge_t1,T1,2025.0,83,0.1924860361311005,0.26928538388002754,0.7414092494122358,0.9366525334788631
ridge_t1,T1,2026.0,29,0.2454431670981553,0.39125939129067633,0.729849274933346,0.9364532019704431
