month,board,n,median_oversubscription,market_turnover_ma20
2019-06-01,科创板,1,280.9273,4580.1750546534995
2019-07-01,科创板,27,340.3246,4588.8336553845
2019-08-01,科创板,1,717.3014,4332.302989728
2019-09-01,科创板,5,586.9093,5672.3765317585
2019-10-01,科创板,17,753.582,4406.066922933501
2019-11-01,科创板,13,652.582,4287.261570545
2019-12-01,科创板,8,1783.2573,4116.970351326
2020-01-01,科创板,11,1991.0026,6332.744213782
2020-02-01,科创板,7,1206.0533,7378.7514392275
2020-03-01,科创板,5,1851.5749,10506.6072122695
2020-04-01,科创板,6,1377.1756500000001,6568.944595801
2020-05-01,科创板,7,1510.5987,6287.0070879515
2020-06-01,科创板,12,1860.3319499999998,6525.3194743665
2020-07-01,科创板,28,2244.5658000000003,10143.667511082
2020-08-01,创业板,21,1816.9487,12068.8330236605
2020-08-01,科创板,23,2300.5263,12068.8330236605
2020-09-01,创业板,13,2879.1037,9499.046329328
2020-09-01,科创板,12,2569.8031499999997,9499.046329328
2020-10-01,创业板,4,2356.0123,7212.937760718001
2020-10-01,科创板,8,2349.05685,7212.937760718001
2020-11-01,创业板,8,2770.1778,7770.828909999499
2020-11-01,科创板,8,3104.97845,7770.828909999499
2020-12-01,创业板,9,3705.9744,8037.739992438001
2020-12-01,科创板,15,3742.3704,8037.739992438001
2021-01-01,创业板,9,3975.6541,10279.1103617165
2021-01-01,科创板,13,4322.3097,10279.1103617165
2021-02-01,创业板,4,4810.5086,9890.701661096498
2021-02-01,科创板,7,3668.6134,9890.701661096498
2021-03-01,创业板,12,4420.8621,9218.871579365501
2021-03-01,科创板,24,4506.6962,9218.871579365501
2021-04-01,创业板,12,3893.5119999999997,7371.962416136999
2021-04-01,科创板,15,4683.7952,7371.962416136999
2021-05-01,创业板,10,4278.94745,7910.589880262001
2021-05-01,科创板,12,5112.18285,7910.589880262001
2021-06-01,创业板,14,4893.2642,9444.510452476501
2021-06-01,科创板,20,5312.09205,9444.510452476501
2021-07-01,创业板,16,5377.9572499999995,10652.8651683395
2021-07-01,科创板,17,5100.3815,10652.8651683395
2021-08-01,创业板,12,5009.06235,13001.8747334115
2021-08-01,科创板,13,5021.3243,13001.8747334115
2021-09-01,创业板,12,5580.1379,14085.578858001501
2021-09-01,科创板,7,5279.303,14085.578858001501
2021-10-01,创业板,10,3093.7573,12305.699114309002
2021-10-01,科创板,8,2733.2586499999998,12305.699114309002
2021-11-01,创业板,17,3725.7411,10466.6717555775
2021-11-01,科创板,13,2209.4077,10466.6717555775
2021-12-01,创业板,14,3318.65355,11546.0804684835
2021-12-01,科创板,16,2839.946,11546.0804684835
2022-01-01,创业板,11,2653.3684,11000.690677564
2022-01-01,科创板,9,2545.1626,11000.690677564
2022-02-01,创业板,6,3123.58885,9402.2816912885
2022-02-01,科创板,3,3726.085,9402.2816912885
2022-03-01,创业板,17,3233.1068,9893.966628075501
2022-03-01,科创板,16,2291.52125,9893.966628075501
2022-04-01,创业板,10,2701.22275,9894.720287360999
2022-04-01,科创板,11,1901.0644,9894.720287360999
2022-05-01,创业板,5,2888.7137,8487.8868364955
2022-05-01,科创板,7,1680.6042,8487.8868364955
2022-06-01,创业板,9,2624.9529,9748.306186451
2022-06-01,科创板,7,1821.8617,9748.306186451
2022-07-01,创业板,7,2612.638,10919.154824642
2022-07-01,科创板,11,2007.3446,10919.154824642
2022-08-01,创业板,17,3418.1885,9891.1082021685
2022-08-01,科创板,15,2764.9069,9891.1082021685
2022-09-01,创业板,13,3122.9444,8983.6346327735
2022-09-01,科创板,17,2368.8774,8983.6346327735
2022-10-01,创业板,8,2537.2981,6987.756384346499
2022-10-01,科创板,6,2987.462,6987.756384346499
2022-11-01,创业板,11,2322.105,8702.276558696
2022-11-01,科创板,9,3307.9928,8702.276558696
2022-12-01,创业板,6,3020.5711499999998,8976.213387418498
2022-12-01,科创板,9,2695.23,8976.213387418498
2023-01-01,创业板,5,2649.7357,7222.38282125875
2023-01-01,科创板,3,2980.7106,7222.38282125875
2023-02-01,创业板,4,2635.48605,8936.7871492805
2023-02-01,科创板,4,3302.7637999999997,8936.7871492805
2023-03-01,主板,10,6843.87915,8926.123777176499
2023-03-01,创业板,7,3084.1297,8926.123777176499
2023-03-01,科创板,4,1983.21855,8926.123777176499
2023-04-01,主板,2,9986.32125,10247.221013805001
2023-04-01,创业板,7,2342.8844,10247.221013805001
2023-04-01,科创板,9,2561.0269,10247.221013805001
2023-05-01,主板,3,10162.7026,11064.0003892985
2023-05-01,创业板,11,2988.9368,11064.0003892985
2023-05-01,科创板,12,2928.81185,11064.0003892985
2023-06-01,主板,0,,8984.582984538
2023-06-01,创业板,18,2792.5376,8984.582984538
2023-06-01,科创板,10,3209.30795,8984.582984538
2023-07-01,主板,2,6207.1827,9306.017627835
2023-07-01,创业板,18,3057.7867,9306.017627835
2023-07-01,科创板,10,3277.33235,9306.017627835
2023-08-01,主板,3,8047.3882,8332.36514519275
2023-08-01,创业板,13,3399.5369,8332.36514519275
2023-08-01,科创板,6,2636.1306999999997,8332.36514519275
2023-09-01,主板,2,7816.242,8022.062854154499
2023-09-01,创业板,7,3482.9615,8022.062854154499
2023-09-01,科创板,4,3295.98,8022.062854154499
2023-10-01,主板,5,7211.776,7310.434978785501
2023-10-01,创业板,2,4081.0124,7310.434978785501
2023-11-01,主板,3,9076.8591,8935.790976312499
2023-11-01,创业板,3,3969.6814,8935.790976312499
2023-11-01,科创板,4,3944.6951499999996,8935.790976312499
2023-12-01,主板,6,9074.92235,8578.580850131752
2023-12-01,创业板,5,3942.3045,8578.580850131752
2023-12-01,科创板,1,691.5885,8578.580850131752
2024-01-01,主板,6,8927.902450000001,7406.3869631365
2024-01-01,创业板,2,3433.3962500000002,7406.3869631365
2024-01-01,科创板,2,2710.9451,7406.3869631365
2024-02-01,主板,1,5772.8125,7991.66309569825
2024-02-01,创业板,1,3789.1141,7991.66309569825
2024-03-01,主板,3,7889.5752,10080.485677109002
2024-03-01,创业板,4,3438.4643,10080.485677109002
2024-03-01,科创板,2,3725.9344499999997,10080.485677109002
2024-04-01,创业板,1,3957.7171,9530.7712843185
2024-04-01,科创板,1,3727.9127,9530.7712843185
2024-05-01,创业板,1,3637.8667,9101.8692668435
2024-05-01,科创板,1,2901.6886,9101.8692668435
2024-06-01,主板,3,9557.6034,7837.6315210675
2024-06-01,创业板,2,3342.7249,7837.6315210675
2024-07-01,主板,1,6510.3297,6640.235200579
2024-07-01,创业板,4,3493.5456,6640.235200579
2024-07-01,科创板,1,3401.7166,6640.235200579
2024-08-01,主板,2,8006.31215,6413.698744966
2024-08-01,创业板,4,3427.18795,6413.698744966
2024-08-01,科创板,1,3227.0811,6413.698744966
2024-09-01,主板,2,6493.9563,5734.04839540725
2024-09-01,创业板,2,2843.29065,5734.04839540725
2024-09-01,科创板,1,2472.6917,5734.04839540725
2024-10-01,主板,1,8615.1,13782.234008544
2024-10-01,创业板,3,2807.2207,13782.234008544
2024-10-01,科创板,1,1428.6423,13782.234008544
2024-11-01,主板,1,8925.5727,20362.242646556002
2024-11-01,创业板,3,3321.6133,20362.242646556002
2024-11-01,科创板,3,2005.6388,20362.242646556002
2024-12-01,主板,3,5857.6989,16956.39626475025
2024-12-01,创业板,2,3303.7765499999996,16956.39626475025
2024-12-01,科创板,2,2102.7415,16956.39626475025
2025-01-01,主板,2,6493.2618,13824.670071835999
2025-01-01,创业板,2,3421.94295,13824.670071835999
2025-01-01,科创板,3,2422.6784,13824.670071835999
2025-02-01,主板,2,9730.2795,16404.63564023
2025-02-01,创业板,2,3586.24555,16404.63564023
2025-03-01,主板,5,9851.9377,17601.1055609545
2025-03-01,创业板,5,3596.8287,17601.1055609545
2025-03-01,科创板,1,2434.0927,17601.1055609545
2025-04-01,主板,2,8583.03415,14117.457572050751
2025-04-01,创业板,3,4166.1052,14117.457572050751
2025-05-01,主板,3,6600.1046,12230.8951730805
2025-05-01,创业板,2,4182.89995,12230.8951730805
2025-05-01,科创板,2,2619.62485,12230.8951730805
2025-06-01,主板,3,10813.825,12137.2027671385
2025-06-01,创业板,1,4455.3894,12137.2027671385
2025-06-01,科创板,1,2341.8242,12137.2027671385
2025-07-01,主板,4,7945.49245,14098.1918087435
2025-07-01,创业板,2,4064.3997,14098.1918087435
2025-08-01,主板,1,12355.8159,18578.8487483555
2025-08-01,创业板,1,4599.3107,18578.8487483555
2025-09-01,主板,3,8109.2433,26073.25350727725
2025-09-01,创业板,5,4866.6657,26073.25350727725
2025-10-01,主板,5,9055.7632,23864.958971538
2025-10-01,科创板,3,2287.0908,23864.958971538
2025-11-01,主板,2,6539.338,20618.37269182175
2025-11-01,创业板,1,4050.0764,20618.37269182175
2025-11-01,科创板,3,3795.9777,20618.37269182175
2025-12-01,主板,3,9134.2029,18058.6382545225
2025-12-01,创业板,3,5148.8155,18058.6382545225
2025-12-01,科创板,5,3511.6891,18058.6382545225
2026-01-01,主板,4,12621.86635,26522.59237946175
2026-01-01,科创板,3,3897.9455,26522.59237946175
2026-02-01,创业板,1,4993.6243,28070.458590929
2026-02-01,科创板,1,3990.9813,28070.458590929
2026-03-01,主板,2,8530.02605,24098.4783382845
2026-03-01,创业板,3,5251.7312,24098.4783382845
2026-03-01,科创板,3,4438.0165,24098.4783382845
2026-04-01,主板,3,13317.8461,21350.9919486765
2026-04-01,创业板,4,5460.6795,21350.9919486765
2026-04-01,科创板,2,3626.0519,21350.9919486765
2026-05-01,主板,2,10645.484550000001,24096.89870413375
