board,period,sample_count,label_count,median_oversubscription,median_subscription_rate_pct,median_first_day_return_pct,break_rate,median_total_issue_shares_10k,median_offline_issue_before_10k,median_offline_issue_before_share_pct,median_strategic_allocation_share_pct,median_subscription_upper_limit_10k,median_subscription_lower_limit_10k,median_market_turnover_ma20,median_recent_ipo_return_ma20,median_concurrent_ipo_count,median_same_board_break_rate_ma10,label_coverage
主板,2023 全面注册制切换,36,35,8340.5967,0.01198954986038349,64.1726618705036,0.027777777777777776,4800.24,2888.4,60.00051061223968,8.581885787245874,1400.0,100.0,8920.761781775,72.17057428402833,7.0,0.0,0.9722222222222222
主板,2024-2026 当前阶段,74,70,8739.5568,0.011443225821501167,143.766713834224,0.0,4425.50825,2557.04065,56.608314051304546,18.134460999999998,1200.0,100.0,15814.66048619325,203.58187769339693,3.0,0.0,0.9459459459459459
主板,未知时期,1,0,,,,0.0,,,,,,,,177.70177658295287,,,0.0
创业板,2019-2020 注册制早期,63,53,2499.4984,0.040008027210579535,191.666666666667,0.0,2800.0,2145.0,71.5,9.988576315789473,1000.0,100.0,9219.9037362595,256.6116585146858,15.0,0.0,0.8412698412698413
创业板,2021-2022 扩容与破发阶段,349,264,3521.1918,0.028399490213175536,78.2448377581121,0.10315186246418338,2640.0,2174.675,71.5,9.999997229961991,1000.0,100.0,9964.4339301395,114.81009481179959,13.0,0.0,0.7564469914040115
创业板,2023 全面注册制切换,110,100,3123.41095,0.03202134482920723,35.631629887727456,0.18181818181818182,2661.53615,1970.5217,71.50000047756755,7.436284210526316,850.0,100.0,8926.123777176499,33.659799676418714,12.0,0.2,0.9090909090909091
创业板,2024-2026 当前阶段,79,64,3721.06865,0.02687450880343306,218.475073313783,0.0,2550.0,1830.4,64.50026515880438,15.000000356050535,850.0,100.0,15045.379776535,219.40234398925267,3.0,0.0,0.810126582278481
创业板,未知时期,1,0,,,,0.0,,,,,,,,272.3587423103046,,,0.0
北交所,2019-2020 注册制早期,38,30,20.815,4.807645669469567,-0.01319609395618635,0.5,1680.0,1550.0,60.0,19.32917332367578,870.0,5.0,8663.349488589,-2.3759492415750305,30.0,0.4,0.7894736842105263
北交所,2021-2022 扩容与破发阶段,123,8,23.115000000000002,4.3400284115552346,0.0,0.3902439024390244,1700.0,878.76,48.0053050397878,18.999997412500097,878.76,1.0,9335.7365180445,14.88536101654672,12.0,0.3,0.06504065040650407
北交所,2023 全面注册制切换,77,2,2.5323,53.68957616974073,24.969696969697,0.22077922077922077,1936.3468,1468.386,39.00000160359483,17.391304347826086,1468.385,1.0,8768.691843175,27.24610537826384,8.0,0.3,0.025974025974025976
北交所,2024-2026 当前阶段,77,1,253.1459,0.3950291116703845,185.7793687451885,0.0,2000.0,2808.0,54.0,17.3912984066681,2808.0,1.0,20620.377035846,262.872663102872,4.0,0.0,0.012987012987012988
北交所,未知时期,1,0,,,,0.0,,,,,,,,157.56222369610248,,,0.0
科创板,2019-2020 注册制早期,213,213,1738.6627,0.057515468641502455,122.665148063781,0.004694835680751174,3010.42,2028.95,66.5008479366874,5.0,720.0,100.0,6891.258466241001,153.82217121194032,10.0,0.0,1.0
科创板,2021-2022 扩容与破发阶段,286,285,3302.6394,0.030278812758062535,64.22294064478935,0.2062937062937063,3222.5,2031.4,64.00289506339854,13.542924268932765,1000.0,100.0,9846.245262723249,92.45843283296026,13.0,0.0,0.9965034965034965
科创板,2023 全面注册制切换,67,67,3025.1845,0.03305583510691662,33.2320162107396,0.19402985074626866,3866.68,2529.7088,65.49192854938171,10.899280821917808,1280.0,100.0,9048.346246995501,40.75983773652339,12.0,0.2,1.0
科创板,2024-2026 当前阶段,43,43,2934.4645,0.03407776785168128,176.908923643054,0.023255813953488372,4100.0,2818.8769,59.5,19.999998765046442,1300.0,100.0,18354.907890093502,188.01425846003357,3.0,0.0,1.0
科创板,未知时期,1,0,,,,0.0,,,,,,,,282.3757462386059,,,0.0
