factor,factor_group,scope,scope_value,n,spearman_ic,abs_ic,icir_by_year,status
recent_ipo_first_day_return_ma20,市场情绪因子,all,全市场,1215,0.3741771063817943,0.3741771063817943,0.16215133540805984,ok
subscription_step_10k,申购规则因子,all,全市场,1235,0.30538579562086143,0.30538579562086143,1.4277699282173841,ok
same_board_break_rate_ma10,市场情绪因子,all,全市场,1153,-0.3014425127413367,0.3014425127413367,-0.5673282750067219,ok
market_turnover_ma20,市场流动性因子,all,全市场,1235,0.2940823498920318,0.2940823498920318,-0.6105541642189518,ok
same_board_concurrent_ipo_count,IPO供给拥挤因子,all,全市场,1235,-0.2402783367379095,0.2402783367379095,-0.21366242152491768,ok
subscription_lower_limit_10k,申购规则因子,all,全市场,1235,0.227911797983334,0.227911797983334,0.9893702418659092,ok
comparable_pe_avg_ex_nonrecurring,估值因子,all,全市场,1124,-0.20396780330142555,0.20396780330142555,-0.6241225278448423,ok
strategic_allocation_share_pct,发行供给因子,all,全市场,900,0.17624502363107486,0.17624502363107486,-0.15840544989349534,ok
concurrent_ipo_count,IPO供给拥挤因子,all,全市场,1235,-0.16787102763825587,0.16787102763825587,-0.4927184491107098,ok
offline_issue_before_share_pct,发行供给因子,all,全市场,1235,-0.1610878478220631,0.1610878478220631,-0.875366723943296,ok
concurrent_offline_issue_sum_10k,IPO供给拥挤因子,all,全市场,1227,-0.08416520079748481,0.08416520079748481,-0.09690182166830152,ok
market_turnover_pct_rank_1y,市场流动性因子,all,全市场,1235,0.08310400881889843,0.08310400881889843,-0.5252512656302104,ok
offline_issue_before_clawback_10k,发行供给因子,all,全市场,1235,-0.06667378540248431,0.06667378540248431,-1.4413772882931366,ok
industry_pe_at_ipo,估值因子,all,全市场,1174,-0.05585232264945121,0.05585232264945121,-0.41415219453739915,ok
market_turnover_ma20_over_ma60,市场流动性因子,all,全市场,1235,0.05055936843525522,0.05055936843525522,0.21031009113325888,ok
subscription_upper_limit_10k,申购规则因子,all,全市场,1235,0.03498579786746328,0.03498579786746328,-1.446722124259887,ok
market_return_ma20,市场情绪因子,all,全市场,1235,0.0338570562404711,0.0338570562404711,-0.3894097517962589,ok
total_issue_shares_10k,发行供给因子,all,全市场,1235,-0.030632006975416813,0.030632006975416813,-0.9271063047609835,ok
offer_price_range_pct,估值因子,all,全市场,0,,,,insufficient_sample
offline_issue_before_clawback_10k,发行供给因子,board,主板,105,-0.46366091469063025,0.46366091469063025,,ok
same_board_break_rate_ma10,市场情绪因子,board,创业板,461,-0.42434282378600335,0.42434282378600335,,ok
total_issue_shares_10k,发行供给因子,board,主板,105,-0.4018516947517557,0.4018516947517557,,ok
recent_ipo_first_day_return_ma20,市场情绪因子,board,创业板,476,0.3953398479550708,0.3953398479550708,,ok
subscription_upper_limit_10k,申购规则因子,board,主板,105,-0.3785491328300181,0.3785491328300181,,ok
offline_issue_before_share_pct,发行供给因子,board,主板,105,-0.37200835228741647,0.37200835228741647,,ok
market_turnover_ma20,市场流动性因子,board,科创板,608,0.3601447839934169,0.3601447839934169,,ok
offline_issue_before_share_pct,发行供给因子,board,科创板,608,-0.3115043207888988,0.3115043207888988,,ok
subscription_lower_limit_10k,申购规则因子,board,主板,105,-0.28907821517073107,0.28907821517073107,,ok
strategic_allocation_share_pct,发行供给因子,board,主板,54,0.26225337982318986,0.26225337982318986,,ok
market_return_ma20,市场情绪因子,board,北交所,41,-0.23909236294383618,0.23909236294383618,,ok
