security_code,security_name,board,listing_year,period,log_offline_oversubscription,feature,shap,abs_shap
688001.SH,华兴源创,科创板,2019.0,2019-2020 注册制早期,5.6380959169990374,total_issue_shares_10k,-0.014011658831707192,0.014011658831707192
688002.SH,睿创微纳,科创板,2019.0,2019-2020 注册制早期,5.608255671390708,total_issue_shares_10k,-0.06827525159760947,0.06827525159760947
688003.SH,天准科技,科创板,2019.0,2019-2020 注册制早期,5.524329200404139,total_issue_shares_10k,-0.05813987501279909,0.05813987501279909
688004.SH,博汇科技,科创板,2020.0,2019-2020 注册制早期,7.8024303057273885,total_issue_shares_10k,0.05795458513414348,0.05795458513414348
688005.SH,容百科技,科创板,2019.0,2019-2020 注册制早期,5.812727159498906,total_issue_shares_10k,0.005375490798192173,0.005375490798192173
688006.SH,杭可科技,科创板,2019.0,2019-2020 注册制早期,5.586410854356912,total_issue_shares_10k,-0.005942808333864811,0.005942808333864811
688007.SH,光峰科技,科创板,2019.0,2019-2020 注册制早期,5.783104615091201,total_issue_shares_10k,-0.039224403452421,0.039224403452421
688008.SH,澜起科技,科创板,2019.0,2019-2020 注册制早期,5.630305995376569,total_issue_shares_10k,-0.1590368287228607,0.1590368287228607
688009.SH,中国通号,科创板,2019.0,2019-2020 注册制早期,4.963779857134553,total_issue_shares_10k,-0.40407255238836703,0.40407255238836703
688010.SH,福光股份,科创板,2019.0,2019-2020 注册制早期,5.7026518357248275,total_issue_shares_10k,-0.007892089080482584,0.007892089080482584
688011.SH,新光光电,科创板,2019.0,2019-2020 注册制早期,5.935006887682297,total_issue_shares_10k,0.006739789649408274,0.006739789649408274
688012.SH,中微公司,科创板,2019.0,2019-2020 注册制早期,5.8310322625809725,total_issue_shares_10k,-0.014446271049703092,0.014446271049703092
688013.SH,天臣医疗,科创板,2020.0,2019-2020 注册制早期,7.715525842081089,total_issue_shares_10k,0.03690827405344516,0.03690827405344516
688015.SH,交控科技,科创板,2019.0,2019-2020 注册制早期,5.968071296231432,total_issue_shares_10k,-0.01648379827368846,0.01648379827368846
688016.SH,心脉医疗,科创板,2019.0,2019-2020 注册制早期,5.684565675729068,total_issue_shares_10k,0.027118967989458932,0.027118967989458932
688017.SH,绿的谐波,科创板,2020.0,2019-2020 注册制早期,7.8868341634923205,total_issue_shares_10k,-0.0006900637540781464,0.0006900637540781464
688018.SH,乐鑫科技,科创板,2019.0,2019-2020 注册制早期,5.844609067481193,total_issue_shares_10k,0.028388884309089386,0.028388884309089386
688019.SH,安集科技,科创板,2019.0,2019-2020 注册制早期,6.0284259792376025,total_issue_shares_10k,0.052802383974100614,0.052802383974100614
688020.SH,方邦股份,科创板,2019.0,2019-2020 注册制早期,5.88115039353105,total_issue_shares_10k,0.033792861996641235,0.033792861996641235
688021.SH,奥福科技,科创板,2019.0,2019-2020 注册制早期,6.801936547248246,total_issue_shares_10k,0.03659596464515999,0.03659596464515999
688022.SH,ST瀚川,科创板,2019.0,2019-2020 注册制早期,5.536832566384668,total_issue_shares_10k,-0.0003478139258904516,0.0003478139258904516
688023.SH,安恒信息,科创板,2019.0,2019-2020 注册制早期,6.693018045363847,total_issue_shares_10k,0.034240028906451864,0.034240028906451864
688025.SH,杰普特,科创板,2019.0,2019-2020 注册制早期,5.805249420198016,total_issue_shares_10k,0.019064712631240464,0.019064712631240464
688026.SH,洁特生物,科创板,2020.0,2019-2020 注册制早期,7.675075358159464,total_issue_shares_10k,0.03306952927098447,0.03306952927098447
