field,count,missing,missing_rate,mean,std,min,p01,p25,median,p75,p99,max
offline_oversubscription_ratio,1194,132,0.09954751131221719,3498.3549981574542,2113.7684443060766,107.9693,293.35461100000003,2231.420575,3165.68015,4266.985575000001,10746.809842999997,13987.6532
log_offline_oversubscription,1194,132,0.09954751131221719,7.964312649428939,0.6943595719619925,4.68184692745564,5.681312792617966,7.710393153291086,8.060123163506905,8.358662814727213,9.28236391471978,9.545930305196483
offline_allotment_ratio_pct,1194,132,0.09954751131221719,0.048535420795644886,0.06712595653509877,0.00714916,0.0093050942,0.0234357525,0.031588790000000005,0.044814545,0.340932239799999,0.92618932
implied_offline_lottery_rate_pct,1194,132,0.09954751131221719,0.04853542066132773,0.06712595380098227,0.007149162091036114,0.009305092823385748,0.023435752433917927,0.031588791135366515,0.04481454933972189,0.34093229396839286,0.9261892037829271
offline_oversubscription_ratio_before_clawback,1194,132,0.09954751131221719,2463.2112874371865,1061.023195821767,94.47,256.86220000000003,1770.323375,2436.53285,3171.4300000000003,4805.979399999999,6339.68
offline_subscription_total_10k,1194,132,0.09954751131221719,8263887.688442211,12918316.395753374,262930.0,532944.3,3299500.0,5277220.0,8633875.0,57513059.59999971,198700240.0
offline_valid_quote_subscription_10k,1194,132,0.09954751131221719,8264491.984924623,12918865.254822994,262930.0,532944.3,3299500.0,5277220.0,8635110.0,57513059.59999971,198714870.0
offline_issue_before_clawback_10k,1194,132,0.09954751131221719,4039.71677839196,9635.591846367337,550.4,714.318445,1463.125,2189.53995,3416.322525,38803.86241399998,173913.0607
offline_issue_final_10k,1194,132,0.09954751131221719,3098.152708040201,7517.310139084259,310.0,454.79,1114.417725,1579.7013,2694.383275,26074.98567799995,131390.7458
offer_price_yuan,1320,6,0.004524886877828055,35.3519696969697,35.4628769911203,1.22,3.5671,15.17,26.5,42.8,164.35379999999995,557.8
issue_amount_100m_yuan,1320,6,0.004524886877828055,12.969714300760758,21.29522578821717,0.620155,2.0464750329399997,5.2548375,8.40602,13.888125,74.87596517894981,532.3019398
strategic_allocation_share_pct,875,451,0.3401206636500754,11.907885794778316,7.68250478737172,1.5444441453566622,2.6236956841002983,5.0,10.0,15.0,30.0,50.0
clawback_ratio_pct,1317,9,0.006787330316742082,15.09990159453303,9.55249606964815,0.0,0.0,10.0,10.0,20.0,40.0,40.0
ipo_pe_diluted,1256,70,0.05279034690799397,51.71004777070063,77.10800929868235,6.14,10.7905,24.377499999999998,36.335,51.9375,376.21900000000073,1737.49
pe_vs_industry,1253,73,0.05505279034690799,1.5083169316550449,2.4635465920617876,0.12064397799062564,0.28834336412787254,0.7090288315629742,0.9996585865483101,1.6157267030523552,9.013237608634343,68.432059866089
offline_allotment_accounts,1194,132,0.09954751131221719,6317.358458961474,1960.9818696747975,933.0,1589.3,5019.75,6501.0,7657.75,10206.369999999994,11355.0
offline_inquiry_investors,1194,132,0.09954751131221719,309.88860971524286,104.75410950290669,46.0,122.86,245.0,291.5,357.75,635.6299999999994,775.0
a_investor_lottery_rate_pct,1194,132,0.09954751131221719,0.054675876097152416,0.07123806407915119,0.00715922,0.0103227926,0.028777039999999997,0.0375991,0.0521584825,0.35829461819999997,1.04707258
