security_code,security_name,board,listing_date,prediction_date,prediction_date_source,log_offline_oversubscription,first_day_return_pct,inquiry_announcement_date,inquiry_start_date,sw_level1_industry_code,sw_level2_industry_code,primary_underwriter,offline_market_value_threshold_10k_yuan,expected_fundraising_100m_yuan,log_expected_fundraising,industry_pe_at_ipo_factor,comparable_pe_avg_ex_nonrecurring_factor,latest_revenue_100m_yuan,log_latest_revenue,revenue_cagr_3y_pct,issue_pb_factor,board_turnover_ma20,board_turnover_pct_rank_1y,board_turnover_ma20_over_ma60,board_return_ma20,underwriter_prior_ipo_count,underwriter_prior_log_oversub_mean,underwriter_prior_first_day_return_mean,underwriter_prior_break_rate,sw_l1_prior_ipo_count,sw_l1_prior_log_oversub_mean,sw_l1_prior_first_day_return_mean,sw_l1_prior_break_rate
688001.SH,华兴源创,科创板,2019-07-22,2019-06-21,inquiry_start_date,5.6380959169990374,128.771640560594,2019-06-19,2019-06-21,1000042211000000,1000042322000000,华泰联合证券有限责任公司,6000.0,11.0085,2.4856147323716806,31.11,114.9,10.050835,2.4025059907196846,,5.43,,,,,0.0,,,,0.0,,,
688002.SH,睿创微纳,科创板,2019-07-22,2019-06-27,inquiry_start_date,5.608255671390708,151.0,2019-06-24,2019-06-27,1000042212000000,1000042331000000,中信证券股份有限公司,6000.0,5.160269,1.8181204454231417,30.58,126.71,3.841047,1.5771310196482917,,4.16,,,,,0.0,,,,0.0,,,
688003.SH,天准科技,科创板,2019-07-22,2019-06-27,inquiry_start_date,5.524329200404139,85.8823529411765,2019-06-24,2019-06-27,1000042211000000,1000042326000000,海通证券股份有限公司,6000.0,11.009308,2.4856820157807498,31.26,49.68,5.0828,1.8054651162841668,,3.18,,,,,0.0,,,,1.0,5.6380959169990374,128.771640560594,0.0
688006.SH,杭可科技,科创板,2019-07-22,2019-06-28,inquiry_start_date,5.586410854356912,99.1250455705432,2019-06-25,2019-06-28,1000042210000000,1000042320000000,国信证券股份有限公司,6000.0,6.515658,2.0169885775888403,31.3,90.56,11.093062,2.492631899722932,,5.69,,,,,0.0,,,,0.0,,,
688008.SH,澜起科技,科创板,2019-07-22,2019-07-03,inquiry_start_date,5.630305995376569,202.096774193548,2019-06-28,2019-07-03,1000042193000000,1000042243000000,中信证券股份有限公司,6000.0,23.55571,3.2009444137545144,30.93,85.16,17.576646,2.9219052004059876,,4.4,,,,,1.0,5.608255671390708,151.0,0.0,0.0,,,
688005.SH,容百科技,科创板,2019-07-22,2019-07-05,inquiry_start_date,5.812727159498906,86.0631104432757,2019-07-02,2019-07-05,1000042210000000,1000042320000000,中信证券股份有限公司,6000.0,16.968971,2.888646437052425,31.11,43.13,30.412601,3.4472091181450826,,3.77,,,,,2.0,5.619280833383638,176.54838709677398,0.0,1.0,5.586410854356912,99.1250455705432,0.0
688007.SH,光峰科技,科创板,2019-07-22,2019-07-05,inquiry_start_date,5.783104615091201,121.942857142857,2019-07-02,2019-07-05,1000042193000000,1000042247000000,华泰联合证券有限责任公司,6000.0,11.2752920227,2.507588463434266,31.11,112.02,13.857272,2.698489442355974,,4.44,,,,,1.0,5.6380959169990374,128.771640560594,0.0,4.0,5.833593326169084,221.95333939904225,0.0
688009.SH,中国通号,科创板,2019-07-22,2019-07-05,inquiry_start_date,4.963779857134553,109.74358974359,2019-07-02,2019-07-05,1000042211000000,1000042324000000,中国国际金融股份有限公司,6000.0,106.756576,4.679874757284005,37.96,72.3,400.126013,5.994275624824152,,1.58,,,,,0.0,,,,3.0,5.725367865985606,103.19779581372147,0.0
688010.SH,福光股份,科创板,2019-07-22,2019-07-05,inquiry_start_date,5.7026518357248275,92.9817605075337,2019-07-03,2019-07-05,1000042193000000,1000042245000000,兴业证券股份有限公司,6000.0,7.119169,2.0942278090350235,28.25,73.9,5.519971,1.8748699280759091,,2.29,,,,,0.0,,,,5.0,5.823495583953507,201.95124294780518,0.0
688011.SH,新光光电,科创板,2019-07-22,2019-07-05,inquiry_start_date,5.935006887682297,84.2215804673142,2019-07-03,2019-07-05,1000042212000000,1000042331000000,中信建投证券股份有限公司,6000.0,9.626582,2.3633585978444986,31.11,117.754,2.084099,1.1262595563531668,,3.27,,,,,1.0,6.013678480553638,94.9393939393939,0.0,1.0,5.608255671390708,151.0,0.0
